model,idiom,language,cluster
mSBERT,অশ্বমেধযজ্ঞ,Bengali,20
mSBERT,অশ্বিনীকুমার,Bengali,1
mSBERT,অষ্টকপালে,Bengali,35
mSBERT,অষ্টকুষ্টি পুত্র,Bengali,25
mSBERT,অষ্টবজ্রসম্মেলন,Bengali,20
mSBERT,অষ্টমঙ্গলা,Bengali,35
mSBERT,অষ্টরম্ভা,Bengali,35
mSBERT,অষ্টাবক্র,Bengali,35
mSBERT,অষ্টেপৃষ্ঠে,Bengali,20
mSBERT,অসিত অশ্বডিম্বের অন্বেষণ,Bengali,25
mSBERT,অসূর্যস্পশ্যা,Bengali,25
mSBERT,অস্ত যাওয়া,Bengali,20
mSBERT,অস্তিনাস্তি,Bengali,25
mSBERT,অস্ত্র,Bengali,38
mSBERT,অস্থিচর্মসার,Bengali,20
mSBERT,অস্থিতপঞ্চ,Bengali,25
mSBERT,অহংবুদ্ধি,Bengali,26
mSBERT,অহি-নকুল সম্পর্ক,Bengali,26
mSBERT,অহিতে বিপরীত,Bengali,20
mSBERT,অ্যাকটিং করা,Bengali,20
mSBERT,আইডিয়া,Bengali,35
mSBERT,"আইতে ছাগল, যাইতে পাগল",Bengali,1
mSBERT,আইবুড়ো পথ বদলানো,Bengali,35
mSBERT,আইল্যাণ্ড,Bengali,20
mSBERT,আউট,Bengali,3
mSBERT,আওয়াজ তোলা,Bengali,20
mSBERT,আওয়াজ দেওয়া,Bengali,35
mSBERT,আঁচলধরা,Bengali,12
mSBERT,আঁচলে গেরো,Bengali,12
mSBERT,আঁচলের নিচে থাকা,Bengali,44
mSBERT,আঁচাআঁচি,Bengali,12
mSBERT,আঁজলপাঁজল করা,Bengali,25
mSBERT,আঁটআঁট,Bengali,35
mSBERT,আঁটকুড়ের ব্যাটা,Bengali,12
mSBERT,আঁটসাঁট,Bengali,35
mSBERT,আঁটিসাটি,Bengali,12
mSBERT,আঁটি চোষা,Bengali,2
mSBERT,আঁটুবাঁটু,Bengali,12
mSBERT,আঁটুনিকসুনি সার,Bengali,1
mSBERT,আঁটোসাটো,Bengali,35
mSBERT,আঁত খালি,Bengali,12
mSBERT,আঁত পাওয়া ভার,Bengali,20
mSBERT,আঁত বুঝে চলা,Bengali,12
mSBERT,আঁতমরা,Bengali,35
mSBERT,আঁতলামি,Bengali,35
mSBERT,আঁতিপাঁতি খোঁজা,Bengali,44
mSBERT,আঁতুপুঁতু করা,Bengali,35
mSBERT,আঁতুড়ে খোকা,Bengali,12
mSBERT,আঁতে ঘা দেওয়া,Bengali,12
mSBERT,আঁতের টান,Bengali,44
mSBERT,আঁতেল,Bengali,12
mSBERT,আঁদাড়-পাঁদাড়,Bengali,12
mSBERT,আঁধার ঘরের আলো,Bengali,0
mSBERT,আঁধারে ঢিল ছোঁড়া,Bengali,44
mSBERT,আঁধারের আলো,Bengali,0
mSBERT,আঁস্তাকুড়ের পাতা,Bengali,44
mSBERT,আককাটা,Bengali,1
mSBERT,আককুটে,Bengali,35
mSBERT,আকখুটের দশা,Bengali,25
mSBERT,আকচাআকচি,Bengali,1
mSBERT,আকছার,Bengali,1
mSBERT,আকটবিকট,Bengali,35
mSBERT,আকণ্ঠ,Bengali,1
mSBERT,আকবরের আমল,Bengali,25
mSBERT,আকর্ণবিস্তৃত হাসি,Bengali,2
mSBERT,আকলমন্দি,Bengali,35
mSBERT,আকাট মূর্খ,Bengali,35
mSBERT,আকার-ইঙ্গিতে,Bengali,39
mSBERT,আকাল পড়েছে আলুর বস্তা,Bengali,44
mSBERT,আকাল,Bengali,12
mSBERT,আকাশকুসুম,Bengali,0
mSBERT,আকাশ-চাওয়া,Bengali,0
mSBERT,আকাশচুম্বী,Bengali,0
mSBERT,আকাশ ছোঁয়া,Bengali,0
mSBERT,আকাশ থেকে কথা বলা,Bengali,26
mSBERT,আকাশ থেকে পড়া,Bengali,25
mSBERT,আকাশদীপ,Bengali,0
mSBERT,আকাশনন্দিনী,Bengali,25
mSBERT,আকাশ ধরা,Bengali,0
mSBERT,আকাশপাতাল,Bengali,25
mSBERT,আকাশপাতাল এক করা,Bengali,25
mSBERT,আকাশপাতাল খোঁজা,Bengali,25
mSBERT,আকাশপাতাল চিন্তা,Bengali,26
mSBERT,আকাশপাতাল তফাৎ,Bengali,0
mSBERT,আকাশপাতাল ভেবে না পাওয়া,Bengali,25
mSBERT,আকাশপ্রদীপ,Bengali,0
mSBERT,আকাশবন্যা,Bengali,0
mSBERT,আকাশবাণী,Bengali,26
mSBERT,আকাশবিহারী,Bengali,25
mSBERT,আকাশবুড়ির সূতা,Bengali,0
mSBERT,আকাশ ভাঙ্গা,Bengali,0
mSBERT,মাথায় আকাশ ভেঙ্গে পড়া,Bengali,25
mSBERT,আকাশশয়ন,Bengali,25
mSBERT,আকাশ হল সীমা,Bengali,0
mSBERT,আকাশ হাতে পাওয়া,Bengali,25
mSBERT,আকাশে ওড়া,Bengali,0
mSBERT,আকাশে তোলা,Bengali,0
mSBERT,আকাশে থুথু ফেলা,Bengali,0
mSBERT,আকাশে ফাঁদ পেতে চাঁদ ধরা,Bengali,0
mSBERT,আকাশের চাঁদ,Bengali,0
mSBERT,আকাশের চাঁদ পাড়া,Bengali,25
mSBERT,আকাশের চাঁদ হাতে পাওয়া,Bengali,0
mSBERT,আকাশের তারা গোনা,Bengali,0
mSBERT,আকুলি-বিকুলি করা,Bengali,1
mSBERT,আক্কেলগুড়ুম,Bengali,1
mSBERT,আক্কেলদাঁত না গজানো,Bengali,25
mSBERT,আক্ল্মন্দ,Bengali,35
mSBERT,আক্কেলসেলামী,Bengali,1
mSBERT,আক্কেল হওয়া,Bengali,20
mSBERT,আখের গুছানো,Bengali,25
mSBERT,আখের বুঝে চলা,Bengali,26
mSBERT,আখেরি জমানা,Bengali,25
mSBERT,আখেরে লাভ,Bengali,26
mSBERT,আগড়মবাগড়ম কথা,Bengali,20
mSBERT,আগড়বাগড় খেয়ে পেট ভরানো,Bengali,21
mSBERT,আগাগোড়া,Bengali,35
mSBERT,আগাপাস্তালা,Bengali,1
mSBERT,আগামাথা,Bengali,1
mSBERT,আগুন দেওয়া,Bengali,9
mSBERT,আগুন নিয়ে খেলা করা,Bengali,9
mSBERT,আগুন পোহানো,Bengali,9
mSBERT,আগুন লাগা,Bengali,9
mSBERT,আগুন-লাগা সংসার,Bengali,25
mSBERT,আগুন লাগানো,Bengali,9
mSBERT,আগুন হওয়া,Bengali,9
mSBERT,আগুনে ঘি ঢালা,Bengali,9
mSBERT,আগুনে জল ঢালা,Bengali,9
mSBERT,আগুনের কাছে ঘি,Bengali,9
mSBERT,আগুপাছু করা,Bengali,12
mSBERT,আগেআগে,Bengali,32
mSBERT,আগেভাগে,Bengali,20
mSBERT,আঙুর ফল টক,Bengali,33
mSBERT,আঙুল কামড়ানো,Bengali,44
mSBERT,আঙুল ঘুরিয়ে পাঁচিল দেওয়া,Bengali,44
mSBERT,আঙুল ফুলে কলাগাছ,Bengali,33
mSBERT,আঙুল মটকানো,Bengali,44
mSBERT,আচমকা সুন্দরী,Bengali,36
mSBERT,আচাভুয়া-বোম্বাচাক,Bengali,1
mSBERT,আছোলা বাঁশ খাওয়া,Bengali,21
mSBERT,আছোলা বাঁশ দেওয়া,Bengali,44
mSBERT,আছোলা বাঁশ নেওয়া,Bengali,44
mSBERT,আজকাল,Bengali,32
mSBERT,আজকাল করা,Bengali,20
mSBERT,আজকাল বাদে,Bengali,32
mSBERT,আজকালের মধ্যে,Bengali,26
mSBERT,আজকের মত,Bengali,26
mSBERT,আজ খেতে কাল নেই,Bengali,5
mSBERT,আজ গেলে দুদিন হবে,Bengali,32
mSBERT,আজ নয় কাল,Bengali,32
mSBERT,আজ বাদে কাল,Bengali,26
mSBERT,আজেবাজে,Bengali,12
mSBERT,আঝালি,Bengali,35
mSBERT,আটকড়াই,Bengali,12
mSBERT,আটকপালী কপালে,Bengali,25
mSBERT,আটকাঠ ঘাট,Bengali,25
mSBERT,আটকিয়া বাঁধা,Bengali,44
mSBERT,আট কুঠুরি নয় দরজা,Bengali,5
mSBERT,আটকুড়ের ব্যাটা,Bengali,12
mSBERT,আট্কে বাঁধা,Bengali,44
mSBERT,আটখানা হওয়া,Bengali,20
mSBERT,আটঘাট বাঁধা,Bengali,44
mSBERT,আটপৌরে কাপড়,Bengali,44
mSBERT,আটপৌরে ভাষা,Bengali,1
mSBERT,আটা পেষাই করা,Bengali,44
mSBERT,আটাশে ছেলে,Bengali,31
mSBERT,আটাশের ছেলে,Bengali,25
mSBERT,আটেকাটে,Bengali,35
mSBERT,আটুপাটু,Bengali,35
mSBERT,আঠা,Bengali,12
mSBERT,আঠারো আনা,Bengali,20
mSBERT,আঠারো ঘা,Bengali,12
mSBERT,আঠারো মাসে বছর,Bengali,25
mSBERT,আড্ডা গাড়া,Bengali,1
mSBERT,আড়ংঘাটা,Bengali,35
mSBERT,আড়ং ধোলাই,Bengali,12
mSBERT,আড়ংহাটা,Bengali,12
mSBERT,আড়কাঠি,Bengali,44
mSBERT,আড়কালা,Bengali,35
mSBERT,আড় নেই,Bengali,5
mSBERT,আড়পাগলা,Bengali,35
mSBERT,আড়বগ্গা,Bengali,12
mSBERT,আড়বুঝ,Bengali,35
mSBERT,আড় ভাঙা,Bengali,12
mSBERT,আড়মোড়া ভাঙা,Bengali,20
mSBERT,আড় হওয়া,Bengali,20
mSBERT,আড়া,Bengali,12
mSBERT,আড়াআড়ি,Bengali,12
mSBERT,আড়াই অক্ষরে,Bengali,12
mSBERT,আড়াই দিনের বাদশাহী,Bengali,25
mSBERT,আড়াই হাত তালগাছের,Bengali,16
mSBERT,আড়ালে আবডালে,Bengali,35
mSBERT,আড়িপাতা,Bengali,44
mSBERT,আড়েহাতে লওয়া,Bengali,44
mSBERT,আড়েহাতে লাগা,Bengali,12
mSBERT,আণ্ডাবাচ্চা,Bengali,12
mSBERT,আতান্তর,Bengali,35
mSBERT,আতালিপাতালি,Bengali,35
mSBERT,আতিপাতি,Bengali,20
mSBERT,আতুপুতু করা,Bengali,35
mSBERT,আত্মঘোষ,Bengali,26
mSBERT,আত্মনং সততং রক্ষেৎ,Bengali,26
mSBERT,আত্মবৎ মন্যতে জগৎ,Bengali,26
mSBERT,আত্মবৎ সর্বভূতেষু,Bengali,26
mSBERT,আত্মরক্ষে ধর্ম,Bengali,4
mSBERT,আত্মসর্বস্ব,Bengali,26
mSBERT,আত্মাপুরুষ,Bengali,26
mSBERT,আত্মারাম খাঁচাছাড়া হওয়া,Bengali,26
mSBERT,আত্মারাম গুটিয়ে যাওয়া,Bengali,26
mSBERT,আত্মার্থে পৃথিবী ত্যজেৎ,Bengali,26
mSBERT,আথালিপাথালি,Bengali,1
mSBERT,আদব-কায়দা,Bengali,1
mSBERT,আদব-কায়দাদুরস্ত,Bengali,1
mSBERT,আদবের খেলাপ,Bengali,26
mSBERT,আদমের সময়,Bengali,25
mSBERT,আদরে বাঁদর,Bengali,36
mSBERT,আদা ওষুধের আধা,Bengali,44
mSBERT,আদা জল খেয়ে পড়ে থাকা,Bengali,13
mSBERT,আদাজল খেয়ে লাগা,Bengali,44
mSBERT,আদাড়-পাদাড়,Bengali,12
mSBERT,আদাড়বনে শিয়াল রাজা,Bengali,25
mSBERT,আদাড়ের হাঁড়ি,Bengali,44
mSBERT,আদা-কাঁচকলা সম্পর্ক,Bengali,26
mSBERT,আদার ব্যাপারী,Bengali,20
mSBERT,আদিরস,Bengali,35
mSBERT,আদুরে গোপাল,Bengali,1
mSBERT,আদেখলা,Bengali,35
mSBERT,আদ্যিকালের বদ্যিবুড়ো,Bengali,25
mSBERT,আদরু-পেঁদরু,Bengali,12
mSBERT,আধাখেঁচড়া,Bengali,20
mSBERT,আধা-পাগলা,Bengali,12
mSBERT,আধাবয়সী,Bengali,20
mSBERT,আধকামারিয়া,Bengali,1
mSBERT,আধবুড়ো,Bengali,12
mSBERT,আধমণি কৈলাস,Bengali,25
mSBERT,আধমরা,Bengali,20
mSBERT,আধিব্যাধি,Bengali,26
mSBERT,আধো আধো,Bengali,12
mSBERT,আধো-আধোপনা,Bengali,12
mSBERT,আনকা,Bengali,35
mSBERT,আনকোরা,Bengali,1
mSBERT,আনচান,Bengali,1
mSBERT,আন-তাবড়ি,Bengali,1
mSBERT,আনন্দে আটখানা,Bengali,36
mSBERT,আনাগোনা,Bengali,35
mSBERT,আনাচ-কানাচ,Bengali,1
mSBERT,আন্দাজে ঢিল ছোঁড়া,Bengali,44
mSBERT,আন্দিরাম মহাজন,Bengali,1
mSBERT,আন্নাকালী,Bengali,1
mSBERT,আপকা ওয়াস্তে,Bengali,1
mSBERT,আপ-খোরাকি,Bengali,12
mSBERT,আপদ,Bengali,17
mSBERT,আপদ-বিপদ,Bengali,17
mSBERT,আপন কথাই পাঁচকাহন,Bengali,26
mSBERT,আপন কোলে ঝোল টানা,Bengali,44
mSBERT,আপনগণ্ডা,Bengali,20
mSBERT,আপনগাঁয়ে কুত্তা শের,Bengali,1
mSBERT,আপনা-আপনি,Bengali,39
mSBERT,আপন পাঁঠা লেজে কাটা,Bengali,44
mSBERT,আপনার পায়ে কুড়োল মারা,Bengali,24
mSBERT,আপন হাত জগন্নাথ,Bengali,1
mSBERT,আপনা হাত জগন্নাথ,Bengali,16
mSBERT,আপনার ঢাক আপনি বাজানো,Bengali,12
mSBERT,আপনি বাঁচলে বাপের নাম,Bengali,12
mSBERT,আপ্তবাক্য,Bengali,26
mSBERT,আফসোস,Bengali,35
mSBERT,আবড়াখাবড়া,Bengali,12
mSBERT,আবদার,Bengali,35
mSBERT,আবর্জনা,Bengali,35
mSBERT,আবহমানকাল,Bengali,20
mSBERT,আবহাওয়া,Bengali,23
mSBERT,আবাগী,Bengali,1
mSBERT,আবাগের বেটা ভূত,Bengali,25
mSBERT,আবাদী জমি,Bengali,25
mSBERT,আবোল-তাবোল,Bengali,1
mSBERT,আব্রু,Bengali,1
mSBERT,আভাঙা জল,Bengali,13
mSBERT,আম না হতে আমসি,Bengali,5
mSBERT,আমগন্ধি,Bengali,12
mSBERT,আমড়া,Bengali,12
mSBERT,আমড়া কাঠের ঢেঁকি,Bengali,44
mSBERT,আমড়া গাছে আম ফলে না,Bengali,33
mSBERT,আমড়াগাছি করা,Bengali,20
mSBERT,আমড়া ভাতে করা,Bengali,26
mSBERT,আমতা আমতা করা,Bengali,36
mSBERT,আমল না দেওয়া,Bengali,26
mSBERT,আমল দেওয়া,Bengali,26
mSBERT,আমসি হওয়া,Bengali,20
mSBERT,আমিত্ব,Bengali,20
mSBERT,আমি আর আমি নয়,Bengali,3
mSBERT,আমির-উমরা,Bengali,1
mSBERT,আমে দুধে এক হয় আঁটি যায় গড়াগড়ি,Bengali,47
mSBERT,আয়নায় মুখ দেখা,Bengali,29
mSBERT,আয়ারাম,Bengali,1
mSBERT,আয়েন্দা,Bengali,25
mSBERT,আয়েশ,Bengali,25
mSBERT,আয়াস,Bengali,25
mSBERT,আয়ীবুড়ি,Bengali,35
mSBERT,আয়োসুয়া,Bengali,35
mSBERT,আর আর,Bengali,39
